Indeces of clusters	Elements of clusters
cluster_653	[[22,24],[22,25],[23,25],]
cluster_654	[[22,25],[23,25],[22,24],]
cluster_655	[[22,26],]
cluster_656	[[22,27],[22,28],[21,28],[22,29],[22,30],]
cluster_657	[[22,28],[21,28],[22,29],[22,30],[22,27],]
cluster_658	[[22,29],[22,30],[22,28],[21,28],[22,27],]
cluster_659	[[22,30],[22,29],[22,28],[21,28],[22,27],]
cluster_660	[[23,1],[22,1],]
cluster_661	[[23,2],]
cluster_662	[[23,3],]
cluster_663	[[23,4],[24,4],]
cluster_664	[[23,5],[23,6],[23,7],]
cluster_665	[[23,6],[23,7],[23,5],]
cluster_666	[[23,7],[23,6],[23,5],]
cluster_667	[[23,8],[22,8],[21,8],[22,9],[22,10],[21,10],[22,11],]
cluster_668	[[23,9],]
cluster_669	[[23,10],]
cluster_670	[[23,11],[23,12],[24,12],]
cluster_671	[[23,12],[24,12],[23,11],]
cluster_672	[[23,13],]
cluster_673	[[23,14],]
cluster_674	[[23,15],[24,15],]
cluster_675	[[23,16],]
cluster_676	[[23,17],]
cluster_677	[[23,18],[24,18],]
cluster_678	[[23,19],[23,20],]
cluster_679	[[23,20],[23,19],]
cluster_680	[[23,21],]
cluster_681	[[23,22],[22,22],]
cluster_682	[[23,23],]
cluster_683	[[23,24],]
cluster_684	[[23,25],[22,25],[22,24],]
cluster_685	[[23,26],[24,26],[24,25],]
cluster_686	[[23,27],]
cluster_687	[[23,28],]
cluster_688	[[23,29],[24,29],]
cluster_689	[[23,30],]
cluster_690	[[24,1],[25,1],[24,2],[24,3],]
cluster_691	[[24,2],[24,3],[24,1],[25,1],]
cluster_692	[[24,3],[24,2],[24,1],[25,1],]
cluster_693	[[24,4],[23,4],]
cluster_694	[[24,5],]
cluster_695	[[24,6],]
cluster_696	[[24,7],[24,8],[25,8],]
cluster_697	[[24,8],[25,8],[24,7],]
cluster_698	[[24,9],]
cluster_699	[[24,10],]
cluster_700	[[24,11],]
cluster_701	[[24,12],[23,12],[23,11],]
cluster_702	[[24,13],]
cluster_703	[[24,14],]
cluster_704	[[24,15],[23,15],]
cluster_705	[[24,16],]
cluster_706	[[24,17],]
cluster_707	[[24,18],[23,18],]
cluster_708	[[24,19],]
cluster_709	[[24,20],]
cluster_710	[[24,21],[24,22],[25,22],]
cluster_711	[[24,22],[25,22],[24,21],]
cluster_712	[[24,23],[25,23],]
cluster_713	[[24,24],]
cluster_714	[[24,25],[24,26],[23,26],]
cluster_715	[[24,26],[23,26],[24,25],]
cluster_716	[[24,27],]
cluster_717	[[24,28],]
cluster_718	[[24,29],[23,29],]
cluster_719	[[24,30],]
cluster_720	[[25,1],[24,1],[24,2],[24,3],]
cluster_721	[[25,2],]
cluster_722	[[25,3],]
cluster_723	[[25,4],]
cluster_724	[[25,5],]
cluster_725	[[25,6],[26,6],[26,5],[25,7],]
cluster_726	[[25,7],[25,6],[26,6],[26,5],]
cluster_727	[[25,8],[24,8],[24,7],]
cluster_728	[[25,9],]
cluster_729	[[25,10],[26,10],]
cluster_730	[[25,11],]
cluster_731	[[25,12],]
cluster_732	[[25,13],]
cluster_733	[[25,14],]
cluster_734	[[25,15],]
cluster_735	[[25,16],]
cluster_736	[[25,17],[26,17],[26,16],[26,15],]
cluster_737	[[25,18],[25,19],]
cluster_738	[[25,19],[25,18],]
cluster_739	[[25,20],]
cluster_740	[[25,21],]
cluster_741	[[25,22],[24,22],[24,21],]
cluster_742	[[25,23],[24,23],]
cluster_743	[[25,24],[25,25],]
cluster_744	[[25,25],[25,24],]
cluster_745	[[25,26],[25,27],]
cluster_746	[[25,27],[25,26],]
cluster_747	[[25,28],]
cluster_748	[[25,29],]
cluster_749	[[25,30],[26,30],]
cluster_750	[[26,1],[26,2],]
cluster_751	[[26,2],[26,1],]
cluster_752	[[26,3],]
cluster_753	[[26,4],]
cluster_754	[[26,5],[26,6],[25,6],[25,7],]
cluster_755	[[26,6],[25,6],[25,7],[26,5],]
cluster_756	[[26,7],]
cluster_757	[[26,8],]
cluster_758	[[26,9],[27,9],]
cluster_759	[[26,10],[25,10],]
cluster_760	[[26,11],]
cluster_761	[[26,12],]
cluster_762	[[26,13],[26,14],]
cluster_763	[[26,14],[26,13],]
cluster_764	[[26,15],[26,16],[26,17],[25,17],]
cluster_765	[[26,16],[26,17],[25,17],[26,15],]
cluster_766	[[26,17],[25,17],[26,16],[26,15],]
cluster_767	[[26,18],[27,18],[26,19],]
cluster_768	[[26,19],[26,18],[27,18],]
cluster_769	[[26,20],]
cluster_770	[[26,21],[27,21],[27,20],]
cluster_771	[[26,22],]
cluster_772	[[26,23],[27,23],]
cluster_773	[[26,24],]
cluster_774	[[26,25],]
cluster_775	[[26,26],]
cluster_776	[[26,27],]
cluster_777	[[26,28],]
cluster_778	[[26,29],]
cluster_779	[[26,30],[25,30],]
cluster_780	[[27,1],[27,2],]
cluster_781	[[27,2],[27,1],]
cluster_782	[[27,3],[28,3],[27,4],]
cluster_783	[[27,4],[27,3],[28,3],]
cluster_784	[[27,5],[27,6],]
cluster_785	[[27,6],[27,5],]
cluster_786	[[27,7],]
cluster_787	[[27,8],]
cluster_788	[[27,9],[26,9],]
cluster_789	[[27,10],]
cluster_790	[[27,11],[28,11],]
cluster_791	[[27,12],]
cluster_792	[[27,13],[27,14],]
cluster_793	[[27,14],[27,13],]
cluster_794	[[27,15],[27,16],]
cluster_795	[[27,16],[27,15],]
cluster_796	[[27,17],]
cluster_797	[[27,18],[26,18],[26,19],]
cluster_798	[[27,19],]
cluster_799	[[27,20],[27,21],[26,21],]
cluster_800	[[27,21],[26,21],[27,20],]
cluster_801	[[27,22],]
cluster_802	[[27,23],[26,23],]
cluster_803	[[27,24],[28,24],]
cluster_804	[[27,25],]
cluster_805	[[27,26],]
cluster_806	[[27,27],[27,28],]
cluster_807	[[27,28],[27,27],]
cluster_808	[[27,29],[27,30],]
cluster_809	[[27,30],[27,29],]
cluster_810	[[28,1],]
cluster_811	[[28,2],]
cluster_812	[[28,3],[27,3],[27,4],]
cluster_813	[[28,4],[29,4],[30,4],[30,3],[28,5],]
cluster_814	[[28,5],[28,4],[29,4],[30,4],[30,3],]
cluster_815	[[28,6],[29,6],[30,6],[30,5],]
cluster_816	[[28,7],[28,8],]
cluster_817	[[28,8],[28,7],]
cluster_818	[[28,9],]
cluster_819	[[28,10],]
cluster_820	[[28,11],[27,11],]
cluster_821	[[28,12],]
cluster_822	[[28,13],]
cluster_823	[[28,14],]
cluster_824	[[28,15],]
cluster_825	[[28,16],[29,16],[29,17],]
cluster_826	[[28,17],]
cluster_827	[[28,18],]
cluster_828	[[28,19],]
cluster_829	[[28,20],]
cluster_830	[[28,21],]
cluster_831	[[28,22],]
cluster_832	[[28,23],]
cluster_833	[[28,24],[27,24],]
cluster_834	[[28,25],]
cluster_835	[[28,26],]
cluster_836	[[28,27],]
cluster_837	[[28,28],[29,28],]
cluster_838	[[28,29],[29,29],[30,29],[30,30],]
cluster_839	[[28,30],[29,30],]
cluster_840	[[29,1],]
cluster_841	[[29,2],[29,3],]
cluster_842	[[29,3],[29,2],]
cluster_843	[[29,4],[30,4],[30,3],[28,4],[28,5],]
cluster_844	[[29,5],]
cluster_845	[[29,6],[30,6],[30,5],[28,6],]
cluster_846	[[29,7],[30,7],]
cluster_847	[[29,8],[29,9],[29,10],]
cluster_848	[[29,9],[29,10],[29,8],]
cluster_849	[[29,10],[29,9],[29,8],]
cluster_850	[[29,11],]
cluster_851	[[29,12],[30,12],[30,13],[30,11],[30,10],]
cluster_852	[[29,13],]
cluster_853	[[29,14],[30,14],[29,15],]
cluster_854	[[29,15],[29,14],[30,14],]
cluster_855	[[29,16],[28,16],[29,17],]
cluster_856	[[29,17],[29,16],[28,16],]
cluster_857	[[29,18],]
cluster_858	[[29,19],[30,19],[30,20],[30,18],[30,17],]
cluster_859	[[29,20],]
cluster_860	[[29,21],]
cluster_861	[[29,22],[29,23],]
cluster_862	[[29,23],[29,22],]
cluster_863	[[29,24],]
cluster_864	[[29,25],]
cluster_865	[[29,26],]
cluster_866	[[29,27],]
cluster_867	[[29,28],[28,28],]
cluster_868	[[29,29],[30,29],[30,30],[28,29],]
cluster_869	[[29,30],[28,30],]
cluster_870	[[30,1],]
cluster_871	[[30,2],]
cluster_872	[[30,3],[30,4],[29,4],[28,4],[28,5],]
cluster_873	[[30,4],[29,4],[28,4],[28,5],[30,3],]
cluster_874	[[30,5],[30,6],[29,6],[28,6],]
cluster_875	[[30,6],[29,6],[28,6],[30,5],]
cluster_876	[[30,7],[29,7],]
cluster_877	[[30,8],]
cluster_878	[[30,9],]
cluster_879	[[30,10],[30,11],[30,12],[29,12],[30,13],]
cluster_880	[[30,11],[30,12],[29,12],[30,13],[30,10],]
cluster_881	[[30,12],[29,12],[30,13],[30,11],[30,10],]
cluster_882	[[30,13],[30,12],[29,12],[30,11],[30,10],]
cluster_883	[[30,14],[29,14],[29,15],]
cluster_884	[[30,15],]
cluster_885	[[30,16],]
cluster_886	[[30,17],[30,18],[30,19],[29,19],[30,20],]
cluster_887	[[30,18],[30,19],[29,19],[30,20],[30,17],]
cluster_888	[[30,19],[29,19],[30,20],[30,18],[30,17],]
cluster_889	[[30,20],[30,19],[29,19],[30,18],[30,17],]
cluster_890	[[30,21],]
cluster_891	[[30,22],[30,23],]
cluster_892	[[30,23],[30,22],]
cluster_893	[[30,24],]
cluster_894	[[30,25],]
cluster_895	[[30,26],]
cluster_896	[[30,27],]
cluster_897	[[30,28],]
cluster_898	[[30,29],[29,29],[28,29],[30,30],]
cluster_899	[[30,30],[30,29],[29,29],[28,29],]
